delay,freq,condition,slider.response,slider.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,,,,,,
0.1,400,unexp,1.841666667,0.8911909,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,7.333333333,1.1563132,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,2.158333333,1.8578629,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,1,1.441902,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,1.716666667,2.2912211,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.808333333,0.9465617,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,1.316666667,1.3565019,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,2.65,1.0078014,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.358333333,1.8677738,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,1.541666667,0.9028314,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.541666667,0.6768464,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,1.916666667,1.6729244,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,2.008333333,1.2586352,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,2.55,1.0574072,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.175,1.4077095,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.7,1000,unexp,1.9,1.2231588,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.4,400,unexp,3.1,1.3749761,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
0.1,400,unexp,1.541666667,0.7522386,sanjana,1,2023-11-09_15h34.32.675,intentionalbindingexeriment,2023.2.3,59.99412058,2023-11-09 15h34.47.481542 +0530,,,,,,
